科目名稱,分類,副分類,,,,
微積分(一),基礎必修課程,,,,,
微積分(二),基礎必修課程,,,,,
物理(一),基礎必修課程,,,,,
物理(二),基礎必修課程,,,,,
線性代數※,基礎必修課程,,,,,
微分方程※ ,基礎必修課程,,,,,
機率 ,基礎必修課程,,,,,
專題討論 ,基礎必修課程,,,,,
生涯規劃與導師時間 ,基礎必修課程,,,,,
服務學習(一),基礎必修課程,,,,,
服務學習(二),基礎必修課程,,,,,
電子學(一),基礎必修課程,,,,,
電子學(二),基礎必修課程,,,,,
電子實驗(一),基礎必修課程,,,,,
電子實驗(二),基礎必修課程,,,,,
電路學,基礎必修課程,,,,,
電磁學 ,基礎必修課程,,,,,
訊號與系統 ,基礎必修課程,,,,,
計算機概論與程式設計 ,基礎必修課程,,,,,
邏輯設計,基礎必修課程,,,,,
數位實驗 ,專業必修實驗課程,,,,,
微算機原理與實驗 ,專業必修實驗課程,,,,,
通訊網路實驗 ,專業必修實驗課程,,,,,
通訊系統實驗 ,專業必修實驗課程,,,,,
通訊系統電腦模擬 ,專業必修實驗課程,,,,,
射頻電路原理與實驗 ,專業必修實驗課程,,,,,
數位訊號處理晶片實驗 ,專業必修實驗課程,,,,,
控制實驗 ,專業必修實驗課程,,,,,
電力電子實驗 ,專業必修實驗課程,,,,,
生醫工程實驗 ,專業必修實驗課程,,,,,
人本計算實驗 ,專業必修實驗課程,,,,,
智慧機器人實驗 ,專業必修實驗課程,,,,,
VLSI 實驗,專業必修實驗課程,,,,,
半導體實驗,專業必修實驗課程,,,,,
類比積體電路實驗,專業必修實驗課程,,,,,
嵌入式系統技術實驗,專業必修實驗課程,,,,,
元件電路計測實驗,專業必修實驗課程,,,,,
電子設計自動化演算法與實作,專業必修實驗課程,,,,,
材料科學導論 ,專業選修課程,核心課程,,,,
電磁波,專業選修課程,核心課程,,,,
感測與光電導論 ,專業選修課程,核心課程,,,,
近代物理導論,專業選修課程,核心課程,,,,
半導體元件物理 ,專業選修課程,核心課程,,,,
量子力學導論 ,專業選修課程,核心課程,,,,
固態物理(一),專業選修課程,核心課程,,,,
固態物理(二) ,專業選修課程,核心課程,,,,
類比積體電路導論 ,專業選修課程,核心課程,,,,
資料結構 ,專業選修課程,核心課程,,,,
演算法導論 ,專業選修課程,核心課程,,,,
自動控制系統,專業選修課程,核心課程,,,,
控制系統設計 ,專業選修課程,核心課程,,,,
數位訊號處理導論 ,專業選修課程,核心課程,,,,
語音處理導論,專業選修課程,核心課程,,,,
機器學習導論,專業選修課程,核心課程,,,,
影像處理導論 ,專業選修課程,核心課程,,,,
超大型積體電路設計導論 ,專業選修課程,核心課程,,,,
計算機組織 ,專業選修課程,核心課程,,,,
通訊原理(一) ,專業選修課程,核心課程,,,,
通訊原理(二) ,專業選修課程,核心課程,,,,
進階物件導向程式設計 ,專業選修課程,核心課程,,,,
人工智慧導論:機器人,專業選修課程,核心課程,,,,
電力電子導論,專業選修課程,核心課程,,,,
電力工程導論 ,專業選修課程,核心課程,,,,
天線導論,專業選修課程,核心課程,,,,
微波工程導論 ,專業選修課程,核心課程,,,,
數據通訊 ,專業選修課程,核心課程,,,,
網路程式設計 ,專業選修課程,核心課程,,,,
醫學工程導論 ,專業選修課程,核心課程,,,,
離散數學,專業選修課程,核心課程,,,,
人工智慧導論,專業選修課程,核心課程,,,,
量子力學導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
固態物理(一),專業選修課程,大學部領域相關專業選修課程,,,,
固態物理(二) ,專業選修課程,大學部領域相關專業選修課程,,,,
半導體實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
元件電路計測實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
半導體基礎理論 ,專業選修課程,大學部領域相關專業選修課程,,,,
數值分析 ,專業選修課程,大學部領域相關專業選修課程,,,,
半導體工程,專業選修課程,大學部領域相關專業選修課程,,,,
半導體元件物理 ,專業選修課程,大學部領域相關專業選修課程,,,,
電磁波,專業選修課程,大學部領域相關專業選修課程,,,,
物理實驗(一),專業選修課程,大學部領域相關專業選修課程,,,,
物理實驗(二),專業選修課程,大學部領域相關專業選修課程,,,,
類比積體電路實驗,專業選修課程,大學部領域相關專業選修課程,,,,
離散數學 ,專業選修課程,大學部領域相關專業選修課程,,,,
物件導向程式設計,專業選修課程,大學部領域相關專業選修課程,,,,
數位電路與系統 ,專業選修課程,大學部領域相關專業選修課程,,,,
計算機組織 ,專業選修課程,大學部領域相關專業選修課程,,,,
超大型積體電路設計導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
電子設計自動化演算法與實作,專業選修課程,大學部領域相關專業選修課程,,,,
微算機系統與實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
動態系統分析與模擬 ,專業選修課程,大學部領域相關專業選修課程,,,,
數位訊號處理導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
數位控制系統,專業選修課程,大學部領域相關專業選修課程,,,,
控制實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
微算機原理與實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
人工智慧導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
互動式音訊處理導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
數位訊號處理晶片實驗,專業選修課程,大學部領域相關專業選修課程,,,,
嵌入式系統技術實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
VLSI 實驗,專業選修課程,大學部領域相關專業選修課程,,,,
數位實驗,專業選修課程,大學部領域相關專業選修課程,,,,
演算法概論 ,專業選修課程,大學部領域相關專業選修課程,,,,
數據通訊 ,專業選修課程,大學部領域相關專業選修課程,,,,
通訊系統實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
通訊系統電腦模擬,專業選修課程,大學部領域相關專業選修課程,,,,
JAVA 程式設計,專業選修課程,大學部領域相關專業選修課程,,,,
資料結構,專業選修課程,大學部領域相關專業選修課程,,,,
自動控制系統,專業選修課程,大學部領域相關專業選修課程,,,,
智慧機器人實驗,專業選修課程,大學部領域相關專業選修課程,,,,
類比積體電路導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
電動機械(機械系),專業選修課程,大學部領域相關專業選修課程,,,,
電力電子實驗,專業選修課程,大學部領域相關專業選修課程,,,,
複變函數 ,專業選修課程,大學部領域相關專業選修課程,,,,
無線通訊之電波傳播與天線,專業選修課程,大學部領域相關專業選修課程,,,,
固態電子學,專業選修課程,大學部領域相關專業選修課程,,,,
通訊電子學 ,專業選修課程,大學部領域相關專業選修課程,,,,
人工智慧導論:機器人,專業選修課程,大學部領域相關專業選修課程,,,,
射頻電路原理與實驗,專業選修課程,大學部領域相關專業選修課程,,,,
作業系統 ,專業選修課程,大學部領域相關專業選修課程,,,,
電腦網路導論,專業選修課程,大學部領域相關專業選修課程,,,,
無線網路導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
網路安全導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
嵌入式系統導論,專業選修課程,大學部領域相關專業選修課程,,,,
通訊網路實驗,專業選修課程,大學部領域相關專業選修課程,,,,
人體結構、功能、臨床及醫療器 材,專業選修課程,大學部領域相關專業選修課程,,,,
VLSI 導論,專業選修課程,大學部領域相關專業選修課程,,,,
生醫工程實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
人本計算實驗,專業選修課程,大學部領域相關專業選修課程,,,,
固態物理,專業選修課程,研究所相關課程 ,,,,
半導體物理及元件(一),專業選修課程,研究所相關課程 ,,,,
半導體物理及元件(二) ,專業選修課程,研究所相關課程 ,,,,
光電子學 ,專業選修課程,研究所相關課程 ,,,,
高等電磁學(一),專業選修課程,研究所相關課程 ,,,,
高等電磁學(二) ,專業選修課程,研究所相關課程 ,,,,
積體電路技術(一),專業選修課程,研究所相關課程 ,,,,
積體電路技術(二) ,專業選修課程,研究所相關課程 ,,,,
記憶體元件與製程 ,專業選修課程,研究所相關課程 ,,,,
太陽能電池物理與技術,專業選修課程,研究所相關課程 ,,,,
CMOS 元件、可靠度及應用之特論 ,專業選修課程,研究所相關課程 ,,,,
量子力學,專業選修課程,研究所相關課程 ,,,,
材料分析,專業選修課程,研究所相關課程 ,,,,
微機電元件技術,專業選修課程,研究所相關課程 ,,,,
元件電路計測實驗,專業選修課程,研究所相關課程 ,,,,
電子材料,專業選修課程,研究所相關課程 ,,,,
薄膜技術及分析,專業選修課程,研究所相關課程 ,,,,
單光子元件與系統 ,專業選修課程,研究所相關課程 ,,,,
半導體雷射,專業選修課程,研究所相關課程 ,,,,
光電半導體物理及元件 ,專業選修課程,研究所相關課程 ,,,,
三維積體電路 ,專業選修課程,研究所相關課程 ,,,,
元件製程技術及可靠度 ,專業選修課程,研究所相關課程 ,,,,
矽奈米元件及物理,專業選修課程,研究所相關課程 ,,,,
低功率 CMOS 元件技術,專業選修課程,研究所相關課程 ,,,,
高功率半導體元件物理與技術 ,專業選修課程,研究所相關課程 ,,,,
固態理論,專業選修課程,研究所相關課程 ,,,,
類比積體電路設計,專業選修課程,研究所相關課程 ,,,,
射頻積體電路設計,專業選修課程,研究所相關課程 ,,,,
資料轉換積體電路,專業選修課程,研究所相關課程 ,,,,
功率積體電路設計,專業選修課程,研究所相關課程 ,,,,
毫米波電路與系統,專業選修課程,研究所相關課程 ,,,,
微波電路,專業選修課程,研究所相關課程 ,,,,
類比濾波器設計,專業選修課程,研究所相關課程 ,,,,
高頻電路設計與實驗 ,專業選修課程,研究所相關課程 ,,,,
生醫電子與系統,專業選修課程,研究所相關課程 ,,,,
積體電路之靜電防護設計特論 ,專業選修課程,研究所相關課程 ,,,,
實體設計自動化 ,專業選修課程,研究所相關課程 ,,,,
計算機輔助設計特論 ,專業選修課程,研究所相關課程 ,,,,
VLSI 測試與可測試性設計 ,專業選修課程,研究所相關課程 ,,,,
高等演算法 ,專業選修課程,研究所相關課程 ,,,,
計算機結構 ,專業選修課程,研究所相關課程 ,,,,
數位積體電路 ,專業選修課程,研究所相關課程 ,,,,
積體電路設計實驗 ,專業選修課程,研究所相關課程 ,,,,
機器學習 ,專業選修課程,研究所相關課程 ,,,,
平行程式設計 ,專業選修課程,研究所相關課程 ,,,,
電腦輔助電路設計與分析 ,專業選修課程,研究所相關課程 ,,,,
